,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluffton,32.24,-80.86,6.67,93,90,3.6,US,1608196116
1,Mataura,-46.19,168.86,12.22,83,96,1.79,NZ,1608196117
2,Albany,42.6,-73.97,-7.78,76,100,0.45,US,1608196118
3,Jinchang,38.5,102.17,-6.79,80,100,0.71,CN,1608196121
4,Punta Arenas,-53.15,-70.92,6.67,70,100,6.7,CL,1608196089
5,Thompson,55.74,-97.86,-29.0,75,40,1.43,CA,1608196123
6,Qaanaaq,77.48,-69.36,-15.88,71,0,3.16,GL,1608196125
7,Ushuaia,-54.8,-68.3,4.0,93,75,9.8,AR,1608196126
8,Cape Town,-33.93,18.42,22.22,56,0,9.3,ZA,1608196127
9,Waipawa,-41.41,175.52,17.0,77,98,4.1,NZ,1608196128
10,Bluff,-46.6,168.33,12.22,83,92,1.79,NZ,1608196129
11,Banda Aceh,5.56,95.32,27.05,75,100,1.4,ID,1608196131
12,Rikitea,-23.12,-134.97,24.68,76,0,5.38,PF,1608196132
13,Cosalá,24.41,-106.69,13.67,42,0,1.57,MX,1608196133
14,Avarua,-21.21,-159.78,28.0,78,80,4.1,CK,1608196135
15,Nikolskoye,59.7,30.79,1.11,86,90,6.0,RU,1608196138
16,Airai,-8.93,125.41,18.7,100,100,1.33,TL,1608196139
17,Arraial do Cabo,-22.97,-42.03,24.0,88,75,5.1,BR,1608196140
18,Iqaluit,63.75,-68.51,-17.0,64,90,4.6,CA,1608196141
19,Talnakh,69.49,88.4,-20.0,83,100,12.0,RU,1608196142
20,New Norfolk,-42.78,147.06,16.67,88,97,1.2,AU,1608196144
21,Saint-Philippe,-21.36,55.77,29.0,70,0,8.7,RE,1608196145
22,Benguela,-12.58,13.41,27.0,61,20,1.5,AO,1608196146
23,Zhangye,38.93,100.45,-5.99,77,100,0.63,CN,1608196147
24,Yuyao,30.05,121.15,9.44,61,40,3.0,CN,1608196148
25,Geraldton,-28.77,114.6,26.0,54,0,11.8,AU,1608196058
26,Chui,-33.7,-53.46,16.83,95,0,1.84,UY,1608196151
27,Bose,45.46,8.01,9.44,80,22,0.76,IT,1608196152
28,Destin,30.39,-86.5,7.0,70,90,6.2,US,1608196153
29,Soyo,-6.13,12.37,25.85,78,100,2.67,AO,1608196154
30,Huilong,31.81,121.66,7.22,67,2,0.89,CN,1608195906
31,Hobart,-42.88,147.33,16.67,87,75,3.1,AU,1608195876
32,Leningradskiy,69.38,178.42,-9.9,94,100,13.1,RU,1608196158
33,Tuktoyaktuk,69.45,-133.04,-24.32,91,99,0.79,CA,1608196159
34,Kapaa,22.08,-159.32,26.0,74,75,5.7,US,1608196124
35,Mar del Plata,-38.0,-57.56,16.67,62,0,4.6,AR,1608196162
36,Freeport,40.66,-73.58,1.11,86,90,8.7,US,1608196163
37,Busselton,-33.65,115.33,25.0,47,0,2.24,AU,1608196164
38,Vaini,-21.2,-175.2,24.0,83,75,3.1,TO,1608196165
39,Fjellstrand,59.8,10.62,3.33,1,100,2.66,NO,1608196166
40,Bratsk,56.13,101.61,-20.0,76,33,4.0,RU,1608196071
41,Evensk,61.95,159.23,-17.57,85,91,6.79,RU,1608196169
42,Abu Kamal,34.45,40.92,17.35,52,12,1.72,SY,1608196170
43,Provideniya,64.38,-173.3,-11.27,94,99,9.03,RU,1608196171
44,Jamame,0.07,42.75,33.63,40,0,5.22,SO,1608196174
45,Upernavik,72.79,-56.15,-10.49,83,33,2.09,GL,1608196175
46,Mizdah,31.45,12.98,13.39,41,0,4.02,LY,1608196176
47,Lebu,-37.62,-73.65,11.06,89,69,6.34,CL,1608196177
48,Kajaani,64.23,27.73,-5.0,79,75,2.1,FI,1608196178
49,Kaabong,3.48,34.15,26.86,30,20,7.07,UG,1608196180
50,Ruwi,23.6,58.55,25.0,41,20,5.1,OM,1608196181
51,Ziarat,30.38,67.73,5.98,51,0,3.46,PK,1608196182
52,Kovdor,67.57,30.48,-12.2,96,0,2.32,RU,1608196183
53,Krasnosel'kup,65.7,82.47,-16.26,93,100,7.91,RU,1608196184
54,Vaitape,-16.52,-151.75,27.24,78,42,9.49,PF,1608196186
55,Kudahuvadhoo,2.67,72.89,28.0,68,66,1.98,MV,1608195999
